uf,ano,tri,n,ncol,obj_ok,cid_col_presente,n_cid_principal_L732,filtro_consistente,base
MA,2020,1,3,62,TRUE,TRUE,3,TRUE,sia
MA,2020,2,3,62,TRUE,TRUE,3,TRUE,sia
MA,2020,3,15,62,TRUE,TRUE,15,TRUE,sia
MA,2020,4,15,62,TRUE,TRUE,15,TRUE,sia
MA,2021,1,15,62,TRUE,TRUE,15,TRUE,sia
MA,2021,2,17,62,TRUE,TRUE,17,TRUE,sia
MA,2021,3,20,62,TRUE,TRUE,20,TRUE,sia
MA,2021,4,24,62,TRUE,TRUE,24,TRUE,sia
MA,2022,1,24,62,TRUE,TRUE,24,TRUE,sia
MA,2022,2,34,62,TRUE,TRUE,34,TRUE,sia
MA,2022,3,45,62,TRUE,TRUE,45,TRUE,sia
MA,2022,4,57,62,TRUE,TRUE,57,TRUE,sia
MA,2023,1,59,62,TRUE,TRUE,59,TRUE,sia
MA,2023,2,29,62,TRUE,TRUE,29,TRUE,sia
MA,2023,3,90,62,TRUE,TRUE,90,TRUE,sia
MA,2023,4,85,62,TRUE,TRUE,85,TRUE,sia
MA,2024,1,87,62,TRUE,TRUE,87,TRUE,sia
MA,2024,2,49,62,TRUE,TRUE,49,TRUE,sia
MA,2024,3,80,62,TRUE,TRUE,80,TRUE,sia
MA,2024,4,130,62,TRUE,TRUE,130,TRUE,sia
MA,2025,1,127,62,TRUE,TRUE,127,TRUE,sia
MA,2025,2,126,62,TRUE,TRUE,126,TRUE,sia
MA,2025,3,157,62,TRUE,TRUE,157,TRUE,sia
MA,2025,4,117,62,TRUE,TRUE,117,TRUE,sia
MT,2020,1,0,62,TRUE,TRUE,NA,TRUE,sia
MT,2020,2,0,62,TRUE,TRUE,NA,TRUE,sia
MT,2020,3,4,62,TRUE,TRUE,4,TRUE,sia
MT,2020,4,11,62,TRUE,TRUE,11,TRUE,sia
MT,2021,1,14,62,TRUE,TRUE,14,TRUE,sia
MT,2021,2,12,62,TRUE,TRUE,12,TRUE,sia
MT,2021,3,26,62,TRUE,TRUE,26,TRUE,sia
MT,2021,4,26,62,TRUE,TRUE,26,TRUE,sia
MT,2022,1,31,62,TRUE,TRUE,31,TRUE,sia
MT,2022,2,43,62,TRUE,TRUE,43,TRUE,sia
MT,2022,3,50,62,TRUE,TRUE,50,TRUE,sia
MT,2022,4,54,62,TRUE,TRUE,54,TRUE,sia
MT,2023,1,60,62,TRUE,TRUE,60,TRUE,sia
MT,2023,2,82,62,TRUE,TRUE,82,TRUE,sia
MT,2023,3,94,62,TRUE,TRUE,94,TRUE,sia
MT,2023,4,118,62,TRUE,TRUE,118,TRUE,sia
MT,2024,1,156,62,TRUE,TRUE,156,TRUE,sia
MT,2024,2,132,62,TRUE,TRUE,132,TRUE,sia
MT,2024,3,121,62,TRUE,TRUE,121,TRUE,sia
MT,2024,4,179,62,TRUE,TRUE,179,TRUE,sia
MT,2025,1,170,62,TRUE,TRUE,170,TRUE,sia
MT,2025,2,191,62,TRUE,TRUE,191,TRUE,sia
MT,2025,3,193,62,TRUE,TRUE,193,TRUE,sia
MT,2025,4,132,62,TRUE,TRUE,132,TRUE,sia
MS,2020,1,7,62,TRUE,TRUE,7,TRUE,sia
MS,2020,2,15,62,TRUE,TRUE,15,TRUE,sia
MS,2020,3,24,62,TRUE,TRUE,24,TRUE,sia
MS,2020,4,31,62,TRUE,TRUE,31,TRUE,sia
MS,2021,1,32,62,TRUE,TRUE,32,TRUE,sia
MS,2021,2,41,62,TRUE,TRUE,41,TRUE,sia
MS,2021,3,43,62,TRUE,TRUE,43,TRUE,sia
MS,2021,4,42,62,TRUE,TRUE,42,TRUE,sia
MS,2022,1,29,62,TRUE,TRUE,29,TRUE,sia
MS,2022,2,44,62,TRUE,TRUE,44,TRUE,sia
MS,2022,3,54,62,TRUE,TRUE,54,TRUE,sia
MS,2022,4,52,62,TRUE,TRUE,52,TRUE,sia
MS,2023,1,71,62,TRUE,TRUE,71,TRUE,sia
MS,2023,2,83,62,TRUE,TRUE,83,TRUE,sia
MS,2023,3,83,62,TRUE,TRUE,83,TRUE,sia
MS,2023,4,82,62,TRUE,TRUE,82,TRUE,sia
MS,2024,1,90,62,TRUE,TRUE,90,TRUE,sia
MS,2024,2,92,62,TRUE,TRUE,92,TRUE,sia
MS,2024,3,103,62,TRUE,TRUE,103,TRUE,sia
MS,2024,4,110,62,TRUE,TRUE,110,TRUE,sia
MS,2025,1,103,62,TRUE,TRUE,103,TRUE,sia
MS,2025,2,124,62,TRUE,TRUE,124,TRUE,sia
MS,2025,3,130,62,TRUE,TRUE,130,TRUE,sia
MS,2025,4,80,62,TRUE,TRUE,80,TRUE,sia
MG,2020,1,33,62,TRUE,TRUE,33,TRUE,sia
MG,2020,2,21,62,TRUE,TRUE,21,TRUE,sia
MG,2020,3,45,62,TRUE,TRUE,45,TRUE,sia
MG,2020,4,99,62,TRUE,TRUE,99,TRUE,sia
MG,2021,1,133,62,TRUE,TRUE,133,TRUE,sia
MG,2021,2,127,62,TRUE,TRUE,127,TRUE,sia
MG,2021,3,215,62,TRUE,TRUE,215,TRUE,sia
MG,2021,4,251,62,TRUE,TRUE,251,TRUE,sia
MG,2022,1,288,62,TRUE,TRUE,288,TRUE,sia
MG,2022,2,326,62,TRUE,TRUE,326,TRUE,sia
MG,2022,3,354,62,TRUE,TRUE,354,TRUE,sia
MG,2022,4,407,62,TRUE,TRUE,407,TRUE,sia
MG,2023,1,461,62,TRUE,TRUE,461,TRUE,sia
MG,2023,2,493,62,TRUE,TRUE,493,TRUE,sia
MG,2023,3,540,62,TRUE,TRUE,540,TRUE,sia
MG,2023,4,531,62,TRUE,TRUE,531,TRUE,sia
MG,2024,1,533,62,TRUE,TRUE,533,TRUE,sia
MG,2024,2,648,62,TRUE,TRUE,648,TRUE,sia
MG,2024,3,693,62,TRUE,TRUE,693,TRUE,sia
MG,2024,4,734,62,TRUE,TRUE,734,TRUE,sia
MG,2025,1,846,62,TRUE,TRUE,846,TRUE,sia
MG,2025,2,765,62,TRUE,TRUE,765,TRUE,sia
MG,2025,3,979,62,TRUE,TRUE,979,TRUE,sia
MG,2025,4,674,62,TRUE,TRUE,674,TRUE,sia
PA,2020,1,0,62,TRUE,TRUE,NA,TRUE,sia
PA,2020,2,1,62,TRUE,TRUE,1,TRUE,sia
PA,2020,3,6,62,TRUE,TRUE,6,TRUE,sia
PA,2020,4,11,62,TRUE,TRUE,11,TRUE,sia
PA,2021,1,55,62,TRUE,TRUE,55,TRUE,sia
PA,2021,2,21,62,TRUE,TRUE,21,TRUE,sia
PA,2021,3,36,62,TRUE,TRUE,36,TRUE,sia
PA,2021,4,51,62,TRUE,TRUE,51,TRUE,sia
PA,2022,1,97,62,TRUE,TRUE,97,TRUE,sia
PA,2022,2,47,62,TRUE,TRUE,47,TRUE,sia
PA,2022,3,63,62,TRUE,TRUE,63,TRUE,sia
PA,2022,4,84,62,TRUE,TRUE,84,TRUE,sia
PA,2023,1,31,62,TRUE,TRUE,31,TRUE,sia
PA,2023,2,66,62,TRUE,TRUE,66,TRUE,sia
PA,2023,3,86,62,TRUE,TRUE,86,TRUE,sia
PA,2023,4,110,62,TRUE,TRUE,110,TRUE,sia
PA,2024,1,129,62,TRUE,TRUE,129,TRUE,sia
PA,2024,2,158,62,TRUE,TRUE,158,TRUE,sia
PA,2024,3,124,62,TRUE,TRUE,124,TRUE,sia
PA,2024,4,151,62,TRUE,TRUE,151,TRUE,sia
PA,2025,1,179,62,TRUE,TRUE,179,TRUE,sia
PA,2025,2,168,62,TRUE,TRUE,168,TRUE,sia
PA,2025,3,240,62,TRUE,TRUE,240,TRUE,sia
PA,2025,4,182,62,TRUE,TRUE,182,TRUE,sia
PB,2020,1,1,62,TRUE,TRUE,1,TRUE,sia
PB,2020,2,4,62,TRUE,TRUE,4,TRUE,sia
PB,2020,3,3,62,TRUE,TRUE,3,TRUE,sia
PB,2020,4,17,62,TRUE,TRUE,17,TRUE,sia
PB,2021,1,20,62,TRUE,TRUE,20,TRUE,sia
PB,2021,2,23,62,TRUE,TRUE,23,TRUE,sia
PB,2021,3,40,62,TRUE,TRUE,40,TRUE,sia
PB,2021,4,62,62,TRUE,TRUE,62,TRUE,sia
PB,2022,1,73,62,TRUE,TRUE,73,TRUE,sia
PB,2022,2,76,62,TRUE,TRUE,76,TRUE,sia
PB,2022,3,80,62,TRUE,TRUE,80,TRUE,sia
PB,2022,4,90,62,TRUE,TRUE,90,TRUE,sia
PB,2023,1,94,62,TRUE,TRUE,94,TRUE,sia
PB,2023,2,104,62,TRUE,TRUE,104,TRUE,sia
PB,2023,3,127,62,TRUE,TRUE,127,TRUE,sia
PB,2023,4,146,62,TRUE,TRUE,146,TRUE,sia
PB,2024,1,158,62,TRUE,TRUE,158,TRUE,sia
PB,2024,2,183,62,TRUE,TRUE,183,TRUE,sia
PB,2024,3,213,62,TRUE,TRUE,213,TRUE,sia
PB,2024,4,274,62,TRUE,TRUE,274,TRUE,sia
PB,2025,1,314,62,TRUE,TRUE,314,TRUE,sia
PB,2025,2,333,62,TRUE,TRUE,333,TRUE,sia
PB,2025,3,353,62,TRUE,TRUE,353,TRUE,sia
PB,2025,4,236,62,TRUE,TRUE,236,TRUE,sia
PR,2020,1,25,62,TRUE,TRUE,25,TRUE,sia
PR,2020,2,84,62,TRUE,TRUE,84,TRUE,sia
PR,2020,3,112,62,TRUE,TRUE,112,TRUE,sia
PR,2020,4,159,62,TRUE,TRUE,159,TRUE,sia
PR,2021,1,209,62,TRUE,TRUE,209,TRUE,sia
PR,2021,2,262,62,TRUE,TRUE,262,TRUE,sia
PR,2021,3,313,62,TRUE,TRUE,313,TRUE,sia
PR,2021,4,376,62,TRUE,TRUE,376,TRUE,sia
PR,2022,1,372,62,TRUE,TRUE,372,TRUE,sia
PR,2022,2,413,62,TRUE,TRUE,413,TRUE,sia
PR,2022,3,425,62,TRUE,TRUE,425,TRUE,sia
PR,2022,4,476,62,TRUE,TRUE,476,TRUE,sia
PR,2023,1,499,62,TRUE,TRUE,499,TRUE,sia
PR,2023,2,607,62,TRUE,TRUE,607,TRUE,sia
PR,2023,3,717,62,TRUE,TRUE,717,TRUE,sia
PR,2023,4,809,62,TRUE,TRUE,809,TRUE,sia
PR,2024,1,845,62,TRUE,TRUE,845,TRUE,sia
PR,2024,2,907,62,TRUE,TRUE,907,TRUE,sia
PR,2024,3,1345,62,TRUE,TRUE,1345,TRUE,sia
PR,2024,4,1507,62,TRUE,TRUE,1507,TRUE,sia
PR,2025,1,1313,62,TRUE,TRUE,1313,TRUE,sia
PR,2025,2,1315,62,TRUE,TRUE,1315,TRUE,sia
